Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
95,85,125,65,55,1,False
50,95,40,50,35,1,False
80,110,50,80,45,1,False
120,53,35,110,87,1,False
105,79,35,110,76,1,False
55,75,60,75,30,1,False
65,95,60,45,35,1,False
90,120,85,70,60,1,False
85,95,30,30,25,1,False
130,120,45,45,40,1,False
5,5,35,105,50,1,False
55,115,100,40,60,1,False
95,80,40,80,90,1,False
125,100,60,100,100,1,False
40,70,70,25,60,1,False
65,95,95,45,85,1,False
67,60,35,50,63,1,False
92,65,65,80,68,1,False
45,55,70,55,85,1,False
75,85,100,85,115,1,False
45,65,100,120,90,1,False
110,80,55,80,105,1,False
50,35,115,95,95,1,False
83,57,95,85,105,1,False
95,57,100,85,93,1,False
125,100,55,70,85,1,False
155,120,65,90,105,1,False
100,95,40,70,110,1,False
10,55,15,20,80,1,False
125,79,60,100,81,1,False
155,109,70,130,81,1,False
85,80,85,95,60,1,False
48,48,48,48,48,1,False
55,50,45,65,55,1,False
65,60,110,95,65,1,False
65,60,110,95,130,1,False
130,60,95,110,65,1,False
60,70,85,75,40,1,False
40,100,90,55,35,1,False
60,125,115,70,55,1,False
80,90,55,45,55,1,False
115,105,65,70,80,1,False
105,65,60,75,130,1,False
135,85,70,95,150,1,False
110,65,65,110,30,1,False
85,100,95,125,85,1,True
90,85,125,90,100,1,True
100,90,125,85,90,1,True
64,45,50,50,50,1,False
84,65,70,70,70,1,False
134,95,100,100,80,1,False
110,90,154,90,130,1,True
190,100,154,100,130,1,True
150,70,194,120,140,1,True
100,100,100,100,100,1,False
49,65,49,65,45,2,False
62,80,63,80,60,2,False
82,100,83,100,80,2,False
52,43,60,50,65,2,False
64,58,80,65,80,2,False
84,78,109,85,100,2,False
65,64,44,48,43,2,False
80,80,59,63,58,2,False
105,100,79,83,78,2,False
46,34,35,45,20,2,False
76,64,45,55,90,2,False
30,30,36,56,50,2,False
50,50,76,96,70,2,False
20,30,40,80,55,2,False
35,50,55,110,85,2,False
60,40,40,40,30,2,False
90,70,60,60,40,2,False
90,80,70,80,130,2,False
38,38,56,56,67,2,False
58,58,76,76,67,2,False
40,15,35,35,60,2,False
25,28,45,55,15,2,False
30,15,40,20,15,2,False
20,65,40,65,20,2,False
40,85,80,105,40,2,False
50,45,70,45,70,2,False
75,70,95,70,95,2,False
40,40,65,45,35,2,False
55,55,80,60,45,2,False
75,85,115,90,55,2,False
95,105,165,110,45,2,False
80,95,90,100,50,2,False
20,50,20,50,40,2,False
50,80,60,80,50,2,False
100,115,30,65,30,2,False
75,75,90,100,70,2,False
35,40,35,55,50,2,False
45,50,45,65,80,2,False
55,70,55,95,110,2,False
70,55,40,55,85,2,False
30,30,30,30,30,2,False
75,55,105,85,30,2,False
65,45,75,45,95,2,False
45,45,25,25,15,2,False
85,85,65,65,35,2,False
65,60,130,95,110,2,False
65,110,60,130,65,2,False
85,42,85,42,91,2,False
75,80,100,110,30,2,False
60,60,85,85,85,2,False
72,48,72,48,48,2,False
33,58,33,58,33,2,False
80,65,90,65,85,2,False
65,90,35,35,15,2,False
90,140,60,60,40,2,False
70,70,65,65,45,2,False
75,105,35,65,85,2,False
85,200,55,65,30,2,False
125,230,55,95,30,2,False
80,50,40,40,30,2,False
120,75,60,60,45,2,False
95,75,55,55,85,2,False
130,100,55,80,65,2,False
150,140,65,100,75,2,False
10,230,10,230,5,2,False
125,75,40,95,85,2,False
185,115,40,105,75,2,False
95,55,35,75,115,2,False
80,50,50,50,40,2,False
130,75,75,75,55,2,False
40,40,70,40,20,2,False
50,120,80,80,30,2,False
50,40,30,30,50,2,False
100,80,60,60,50,2,False
55,85,65,85,35,2,False
65,35,65,35,65,2,False
105,75,105,75,45,2,False
55,45,65,45,75,2,False
40,70,80,140,70,2,False
80,140,40,70,70,2,False
60,30,80,50,65,2,False
90,50,110,80,95,2,False
90,90,140,90,115,2,False
95,95,95,95,85,2,False
60,60,40,40,40,2,False
120,120,60,60,50,2,False
80,90,105,95,60,2,False
95,62,85,65,85,2,False
20,35,20,45,75,2,False
35,35,35,35,35,2,False
95,95,35,110,70,2,False
30,15,85,65,65,2,False
63,37,65,55,95,2,False
75,37,70,55,83,2,False
80,105,40,70,100,2,False
10,10,75,135,55,2,False
85,75,115,100,115,2,True
115,85,90,75,100,2,True
75,115,90,115,85,2,True
64,50,45,50,41,2,False
84,70,65,70,51,2,False
134,110,95,100,61,2,False
164,150,95,120,71,2,False
90,130,90,154,110,2,True
130,90,110,154,90,2,True
100,100,100,100,100,2,False
45,35,65,55,70,3,False
65,45,85,65,95,3,False
85,65,105,85,120,3,False
110,75,145,85,145,3,False
60,40,70,50,45,3,False
85,60,85,60,55,3,False
120,70,110,70,80,3,False
160,80,130,80,100,3,False
70,50,50,50,40,3,False
85,70,60,70,50,3,False
110,90,85,90,60,3,False
150,110,95,110,70,3,False
55,35,30,30,35,3,False
90,70,60,60,70,3,False
30,41,30,41,60,3,False
70,61,50,61,100,3,False
45,35,20,30,20,3,False
35,55,25,25,15,3,False
70,50,100,50,65,3,False
35,55,25,25,15,3,False
50,70,50,90,65,3,False
30,30,40,50,30,3,False
50,50,60,70,50,3,False
70,70,90,100,70,3,False
40,50,30,30,30,3,False
70,40,60,40,60,3,False
100,60,90,60,80,3,False
55,30,30,30,85,3,False
85,60,50,50,125,3,False
30,30,55,30,85,3,False
50,100,85,70,65,3,False
25,25,45,35,40,3,False
35,35,65,55,50,3,False
65,65,125,115,80,3,False
85,65,165,135,100,3,False
30,32,50,52,65,3,False
60,62,80,82,60,3,False
40,60,40,60,35,3,False
130,80,60,60,70,3,False
60,60,35,35,30,3,False
80,80,55,55,90,3,False
160,100,95,65,100,3,False
45,90,30,30,40,3,False
90,45,50,50,160,3,False
90,45,30,30,40,3,False
51,23,51,23,28,3,False
71,43,71,43,48,3,False
91,63,91,73,68,3,False
60,30,20,30,25,3,False
120,60,40,60,50,3,False
20,40,20,40,20,3,False
45,135,45,90,30,3,False
45,45,35,35,50,3,False
65,65,55,55,70,3,False
75,75,65,65,50,3,False
85,125,85,115,20,3,False
85,85,55,55,50,3,False
105,125,55,95,50,3,False
70,100,40,40,30,3,False
90,140,50,50,40,3,False
110,180,60,60,50,3,False
140,230,60,80,50,3,False
40,55,40,55,60,3,False
60,75,60,75,80,3,False
100,85,80,85,100,3,False
45,40,65,40,65,3,False
75,60,105,60,105,3,False
75,80,135,80,135,3,False
50,40,85,75,95,3,False
40,50,75,85,95,3,False
73,55,47,75,85,3,False
47,55,73,75,85,3,False
60,45,100,80,65,3,False
43,53,43,53,40,3,False
73,83,73,83,55,3,False
90,20,65,20,65,3,False
120,40,95,40,95,3,False
140,70,110,65,105,3,False
70,35,70,35,60,3,False
90,45,90,45,60,3,False
60,40,65,45,35,3,False
100,70,105,75,40,3,False
120,100,145,105,20,3,False
85,140,85,70,20,3,False
25,35,70,80,60,3,False
45,65,90,110,80,3,False
60,60,60,60,60,3,False
100,45,45,45,10,3,False
70,50,50,50,70,3,False
100,80,80,80,100,3,False
85,40,85,40,35,3,False
115,60,115,60,55,3,False
40,60,40,75,50,3,False
70,90,70,105,80,3,False
110,110,110,105,80,3,False
115,60,60,60,90,3,False
100,60,100,60,65,3,False
55,65,95,85,70,3,False
95,85,55,65,70,3,False
48,43,46,41,60,3,False
78,73,76,71,60,3,False
80,65,50,35,35,3,False
120,85,90,55,55,3,False
40,55,40,70,55,3,False
70,105,70,120,75,3,False
41,77,61,87,23,3,False
81,97,81,107,43,3,False
95,50,40,50,75,3,False
125,100,70,80,45,3,False
15,20,10,55,80,3,False
60,79,100,125,81,3,False
70,70,70,70,70,3,False
90,70,60,120,40,3,False
75,35,63,33,45,3,False
115,65,83,63,65,3,False
165,75,93,83,75,3,False
40,90,30,90,25,3,False
70,130,60,130,25,3,False
68,83,72,87,51,3,False
50,70,95,80,65,3,False
130,60,75,60,75,3,False
150,60,115,60,115,3,False
23,48,23,48,23,3,False
50,50,50,50,50,3,False
80,80,80,80,80,3,False
120,80,120,80,100,3,False
40,50,55,50,25,3,False
60,70,75,70,45,3,False
80,90,95,90,65,3,False
64,85,74,55,32,3,False
104,105,94,75,52,3,False
84,105,114,75,52,3,False
90,130,45,65,55,3,False
30,55,40,65,97,3,False
75,60,40,30,50,3,False
95,100,60,50,50,3,False
135,80,110,80,100,3,False
145,130,120,90,120,3,False
55,80,35,60,30,3,False
75,100,55,80,50,3,False
135,130,95,90,70,3,False
145,150,105,110,110,3,False
100,200,50,100,50,3,True
50,100,100,200,50,3,True
75,150,75,150,50,3,True
80,90,110,130,110,3,True
100,120,140,150,110,3,True
90,80,130,110,110,3,True
130,100,160,120,110,3,True
100,90,150,140,90,3,True
150,90,180,160,90,3,True
150,140,100,90,90,3,True
180,160,150,90,90,3,True
150,90,150,90,95,3,True
180,100,180,100,115,3,True
100,100,100,100,100,3,True
150,50,150,50,150,3,True
180,20,180,20,150,3,True
70,160,70,160,90,3,True
95,90,95,90,180,3,True
68,64,45,55,31,4,False
89,85,55,65,36,4,False
109,105,75,85,56,4,False
58,44,58,44,61,4,False
78,52,78,52,81,4,False
104,71,104,71,108,4,False
51,53,61,56,40,4,False
66,68,81,76,50,4,False
86,88,111,101,60,4,False
55,30,30,30,60,4,False
75,50,40,40,80,4,False
120,70,50,60,100,4,False
45,40,35,40,31,4,False
85,60,55,60,71,4,False
25,41,25,41,25,4,False
85,51,55,51,65,4,False
65,34,40,34,45,4,False
85,49,60,49,60,4,False
120,79,95,79,70,4,False
30,35,50,70,55,4,False
70,65,125,105,90,4,False
125,40,30,30,58,4,False
165,60,65,50,58,4,False
42,118,42,88,30,4,False
52,168,47,138,30,4,False
29,45,29,45,36,4,False
59,85,79,105,36,4,False
79,105,59,85,36,4,False
69,95,69,95,36,4,False
94,50,94,50,66,4,False
30,42,30,42,70,4,False
80,102,80,102,40,4,False
45,70,45,90,95,4,False
65,35,60,30,85,4,False
105,55,85,50,115,4,False
35,45,62,53,35,4,False
60,70,87,78,85,4,False
48,48,57,62,34,4,False
83,68,92,82,39,4,False
100,66,60,66,115,4,False
50,34,60,44,70,4,False
80,44,90,54,80,4,False
66,44,44,56,85,4,False
76,84,54,96,105,4,False
136,94,54,96,135,4,False
60,60,105,105,105,4,False
125,52,105,52,71,4,False
55,42,42,37,85,4,False
82,64,64,59,112,4,False
30,50,65,50,45,4,False
63,47,41,41,74,4,False
93,67,71,61,84,4,False
24,86,24,86,23,4,False
89,116,79,116,33,4,False
80,95,10,45,10,4,False
25,45,70,90,60,4,False
5,5,15,65,30,4,False
65,45,92,42,91,4,False
92,108,92,108,35,4,False
70,45,40,45,42,4,False
90,65,50,55,82,4,False
130,95,80,85,102,4,False
170,115,120,95,92,4,False
85,40,40,85,5,4,False
70,40,35,40,60,4,False
110,70,115,70,90,4,False
145,88,140,70,112,4,False
72,78,38,42,32,4,False
112,118,68,72,47,4,False
50,90,30,55,65,4,False
90,110,60,75,95,4,False
61,40,61,40,50,4,False
106,65,86,65,85,4,False
100,72,90,72,46,4,False
49,56,49,61,66,4,False
69,76,69,86,91,4,False
20,50,60,120,50,4,False
62,50,62,60,40,4,False
92,75,92,85,60,4,False
132,105,132,105,30,4,False
120,65,45,85,125,4,False
70,115,130,90,60,4,False
85,95,80,95,50,4,False
140,130,55,55,40,4,False
100,125,110,50,50,4,False
123,67,95,85,95,4,False
95,67,125,95,83,4,False
50,95,120,115,80,4,False
76,86,116,56,95,4,False
110,130,60,65,95,4,False
60,110,130,95,65,4,False
95,125,45,75,95,4,False
130,80,70,60,80,4,False
80,70,135,75,90,4,False
125,65,65,115,80,4,False
165,95,65,115,110,4,False
55,145,75,150,40,4,False
100,135,65,135,45,4,False
80,70,80,70,110,4,False
50,77,95,77,91,4,False
65,107,105,107,86,4,False
65,107,105,107,86,4,False
65,107,105,107,86,4,False
65,107,105,107,86,4,False
65,107,105,107,86,4,False
75,130,75,130,95,4,True
105,105,105,105,80,4,True
125,70,125,70,115,4,True
120,120,150,100,90,4,True
120,100,150,120,100,4,True
90,106,130,106,77,4,True
160,110,80,110,100,4,True
100,120,100,120,90,4,True
120,100,120,100,90,4,True
70,120,75,130,85,4,False
80,80,80,80,80,4,False
100,100,100,100,100,4,False
90,90,135,90,125,4,True
100,100,100,100,100,4,True
103,75,120,75,127,4,True
120,120,120,120,120,4,True
100,100,100,100,100,5,True
45,55,45,55,63,5,False
60,75,60,75,83,5,False
75,95,75,95,113,5,False
63,45,45,45,45,5,False
93,55,70,55,55,5,False
123,65,100,65,65,5,False
55,45,63,45,45,5,False
75,60,83,60,60,5,False
100,85,108,70,70,5,False
55,39,35,39,42,5,False
85,69,60,69,77,5,False
60,45,25,45,55,5,False
80,65,35,65,60,5,False
110,90,45,90,80,5,False
50,37,50,37,66,5,False
88,50,88,50,106,5,False
53,48,53,48,64,5,False
98,63,98,63,101,5,False
53,48,53,48,64,5,False
98,63,98,63,101,5,False
53,48,53,48,64,5,False
98,63,98,63,101,5,False
25,45,67,55,24,5,False
55,85,107,95,29,5,False
55,50,36,30,43,5,False
77,62,50,42,65,5,False
115,80,65,55,93,5,False
60,32,50,32,76,5,False
100,63,80,63,116,5,False
75,85,25,25,15,5,False
105,105,50,40,20,5,False
135,130,60,80,25,5,False
45,43,55,43,72,5,False
57,55,77,55,114,5,False
85,40,30,45,68,5,False
135,60,50,65,88,5,False
60,86,60,86,50,5,False
60,126,80,126,50,5,False
80,55,25,35,35,5,False
105,85,40,50,40,5,False
140,95,55,65,45,5,False
50,40,50,40,64,5,False
65,55,65,55,69,5,False
95,75,85,75,74,5,False
100,85,30,85,45,5,False
125,75,30,75,85,5,False
53,70,40,60,42,5,False
63,90,50,80,42,5,False
103,80,70,80,92,5,False
45,59,30,39,57,5,False
55,99,40,79,47,5,False
100,89,55,69,112,5,False
27,60,37,50,66,5,False
67,85,77,75,116,5,False
35,50,70,50,30,5,False
60,75,110,75,90,5,False
92,65,80,55,98,5,False
72,35,35,35,65,5,False
82,45,45,45,74,5,False
117,80,65,70,92,5,False
90,45,15,45,50,5,False
140,55,30,55,95,5,False
30,105,140,105,55,5,False
86,67,106,67,60,5,False
65,85,35,35,55,5,False
95,125,65,75,45,5,False
75,70,35,70,48,5,False
90,115,45,115,58,5,False
58,80,103,80,97,5,False
30,85,55,65,30,5,False
50,145,95,105,30,5,False
78,103,53,45,22,5,False
108,133,83,65,32,5,False
112,45,74,45,70,5,False
140,65,112,65,110,5,False
50,62,40,62,65,5,False
95,82,60,82,75,5,False
65,40,80,40,65,5,False
105,60,120,60,105,5,False
50,40,40,40,75,5,False
95,60,65,60,115,5,False
30,50,55,65,45,5,False
45,70,75,85,55,5,False
55,95,95,110,65,5,False
30,40,105,50,20,5,False
40,50,125,60,30,5,False
65,75,125,85,30,5,False
44,50,44,50,55,5,False
87,63,87,63,98,5,False
50,50,65,60,44,5,False
65,65,80,75,59,5,False
95,85,110,95,79,5,False
60,50,40,50,75,5,False
100,70,60,70,95,5,False
75,60,75,60,103,5,False
75,45,40,45,60,5,False
135,105,60,105,20,5,False
55,45,55,55,15,5,False
85,70,85,80,30,5,False
40,50,65,85,40,5,False
60,70,85,105,60,5,False
75,80,40,45,65,5,False
47,50,57,50,65,5,False
77,60,97,60,108,5,False
50,91,24,86,10,5,False
94,131,54,116,20,5,False
55,70,45,60,30,5,False
80,95,70,85,50,5,False
100,115,70,85,90,5,False
55,40,45,40,60,5,False
85,70,75,70,40,5,False
115,80,105,80,50,5,False
55,55,85,55,30,5,False
75,75,125,95,40,5,False
30,55,65,55,20,5,False
40,60,95,60,55,5,False
55,90,145,90,80,5,False
87,60,30,40,57,5,False
117,70,40,50,67,5,False
147,90,60,70,97,5,False
70,40,60,40,40,5,False
110,80,70,80,50,5,False
50,30,95,135,105,5,False
40,85,40,65,25,5,False
70,40,100,60,145,5,False
66,84,81,99,32,5,False
85,50,55,50,65,5,False
125,60,95,60,105,5,False
120,90,60,90,48,5,False
74,50,35,50,35,5,False
124,80,55,80,55,5,False
85,70,40,40,60,5,False
125,100,60,70,70,5,False
110,95,40,95,55,5,False
83,50,37,50,60,5,False
123,75,57,75,80,5,False
55,75,45,65,60,5,False
65,105,55,95,80,5,False
97,66,105,66,65,5,False
109,112,48,48,109,5,False
65,50,45,50,38,5,False
85,70,65,70,58,5,False
105,90,125,90,98,5,False
85,55,50,55,60,5,False
60,65,135,105,100,5,False
90,129,90,72,108,5,True
129,90,72,90,108,5,True
90,72,90,129,108,5,True
115,70,125,80,111,5,True
100,80,110,90,121,5,True
115,70,125,80,111,5,True
105,70,145,80,101,5,True
120,100,150,120,90,5,True
150,120,120,100,90,5,True
125,90,115,80,101,5,True
145,90,105,80,91,5,True
130,90,130,90,95,5,True
170,100,120,90,95,5,True
120,90,170,100,95,5,True
72,90,129,90,108,5,False
72,90,129,90,108,5,False
77,77,128,128,90,5,False
128,90,77,77,128,5,False
120,95,120,95,99,5,False
61,65,48,45,38,6,False
78,95,56,58,57,6,False
107,122,74,75,64,6,False
45,40,62,60,60,6,False
59,58,90,70,73,6,False
69,72,114,100,104,6,False
56,40,62,44,71,6,False
63,52,83,56,97,6,False
95,67,103,71,122,6,False
36,38,32,36,57,6,False
56,77,50,77,78,6,False
50,43,40,38,62,6,False
73,55,56,52,84,6,False
81,71,74,69,126,6,False
35,40,27,25,35,6,False
22,60,27,30,29,6,False
52,50,90,50,89,6,False
50,58,73,54,72,6,False
68,72,109,66,106,6,False
38,39,61,79,42,6,False
45,47,75,98,52,6,False
65,68,112,154,75,6,False
65,48,62,57,52,6,False
100,62,97,81,68,6,False
82,62,46,48,43,6,False
124,78,69,71,58,6,False
80,60,65,90,102,6,False
48,54,63,60,68,6,False
48,76,83,81,104,6,False
48,76,83,81,104,6,False
80,100,35,37,28,6,False
110,150,45,49,35,6,False
150,50,150,50,60,6,False
50,150,50,150,60,6,False
52,60,63,65,23,6,False
72,72,99,89,29,6,False
48,66,59,57,49,6,False
80,86,85,75,72,6,False
54,53,37,46,45,6,False
92,88,68,75,73,6,False
52,67,39,56,50,6,False
105,115,54,86,68,6,False
60,60,60,60,30,6,False
75,90,97,123,44,6,False
53,62,58,63,44,6,False
73,88,120,89,59,6,False
38,33,61,43,70,6,False
55,52,109,94,109,6,False
89,77,45,45,48,6,False
121,119,69,59,71,6,False
59,50,67,63,46,6,False
77,72,99,92,58,6,False
65,65,110,130,60,6,False
92,75,74,63,118,6,False
58,57,81,67,101,6,False
50,150,50,150,50,6,False
50,35,55,75,40,6,False
75,53,83,113,60,6,False
100,70,110,150,80,6,False
80,91,80,87,75,6,False
70,48,50,60,38,6,False
110,76,65,82,56,6,False
66,70,44,55,51,6,False
66,70,44,55,56,6,False
66,70,44,55,46,6,False
66,70,44,55,41,6,False
90,122,58,75,84,6,False
85,122,58,75,99,6,False
95,122,58,75,69,6,False
100,122,58,75,54,6,False
69,85,32,35,28,6,False
117,184,44,46,28,6,False
30,35,45,40,55,6,False
70,80,97,80,123,6,False
131,95,131,98,99,6,True
131,95,131,98,99,6,True
100,121,81,95,95,6,True
100,150,100,150,50,6,True
160,110,160,110,110,6,True
110,60,150,130,70,6,True
160,60,170,130,80,6,True
110,120,130,90,70,6,True
