,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
320,296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,False
322,298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,False
324,300,Skitty,Normal,,260,50,45,45,35,35,50,3,False
326,302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,False
328,303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,False
330,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
332,306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,False
334,307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,False
336,308,MedichamMega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,False
338,310,Manectric,Electric,,475,70,75,60,105,60,105,3,False
340,311,Plusle,Electric,,405,60,50,40,85,75,95,3,False
342,313,Volbeat,Bug,,400,65,73,55,47,75,85,3,False
344,315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,False
346,317,Swalot,Poison,,467,100,73,83,73,83,55,3,False
348,319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,False
350,320,Wailmer,Water,,400,130,70,35,70,35,60,3,False
352,322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,False
354,323,CameruptMega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,False
356,325,Spoink,Psychic,,330,60,25,35,70,80,60,3,False
358,327,Spinda,Normal,,360,60,60,60,60,60,60,3,False
360,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
362,331,Cacnea,Grass,,335,50,85,40,85,40,35,3,False
364,333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,False
366,334,AltariaMega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,False
368,336,Seviper,Poison,,458,73,100,60,100,60,65,3,False
370,338,Solrock,Rock,Psychic,440,70,95,85,55,65,70,3,False
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
374,342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,False
376,344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
380,348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,False
382,350,Milotic,Water,,540,95,60,79,100,125,81,3,False
384,352,Kecleon,Normal,,440,60,90,70,60,120,40,3,False
386,354,Banette,Ghost,,455,64,115,65,83,63,65,3,False
388,355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False
390,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,3,False
392,359,Absol,Dark,,465,65,130,60,75,60,75,3,False
394,360,Wynaut,Psychic,,260,95,23,48,23,48,23,3,False
396,362,Glalie,Ice,,480,80,80,80,80,80,80,3,False
398,363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False
400,365,Walrein,Ice,Water,530,110,80,90,95,90,65,3,False
402,367,Huntail,Water,,485,55,104,105,94,75,52,3,False
404,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,3,False
406,371,Bagon,Dragon,,300,45,75,60,40,30,50,3,False
408,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False
410,374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,False
412,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False
414,377,Regirock,Rock,,580,80,100,200,50,100,50,3,True
416,379,Registeel,Steel,,580,80,75,150,75,150,50,3,True
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
420,381,LatiosMega Latios,Dragon,Psychic,700,80,130,100,160,120,110,3,True
422,382,KyogrePrimal Kyogre,Water,,770,100,150,90,180,160,90,3,True
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
426,384,RayquazaMega Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,3,True
428,386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150,3,True
430,386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90,3,True
432,387,Turtwig,Grass,,318,55,68,64,45,55,31,4,False
434,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,4,False
436,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,False
438,393,Piplup,Water,,314,53,51,53,61,56,40,4,False
440,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,4,False
442,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,4,False
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False
446,401,Kricketot,Bug,,194,37,25,41,25,41,25,4,False
448,403,Shinx,Electric,,263,45,65,34,40,34,45,4,False
450,405,Luxray,Electric,,523,80,120,79,95,79,70,4,False
452,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,4,False
454,409,Rampardos,Rock,,495,97,165,60,65,50,58,4,False
456,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,4,False
458,413,WormadamPlant Cloak,Bug,Grass,424,60,59,85,79,105,36,4,False
460,413,WormadamTrash Cloak,Bug,Steel,424,60,69,95,69,95,36,4,False
462,415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False
464,417,Pachirisu,Electric,,405,60,45,70,45,90,95,4,False
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
468,421,Cherrim,Grass,,450,70,60,70,87,78,85,4,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
472,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
474,427,Buneary,Normal,,350,55,66,44,44,56,85,4,False
476,428,LopunnyMega Lopunny,Normal,Fighting,580,65,136,94,54,96,135,4,False
478,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,4,False
480,432,Purugly,Normal,,452,71,82,64,64,59,112,4,False
482,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,4,False
484,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,4,False
486,438,Bonsly,Rock,,290,50,80,95,10,45,10,4,False
488,440,Happiny,Normal,,220,100,5,5,15,65,30,4,False
490,442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,4,False
492,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,4,False
494,445,GarchompMega Garchomp,Dragon,Ground,700,108,170,115,120,95,92,4,False
496,447,Riolu,Fighting,,285,40,70,40,35,40,60,4,False
498,448,LucarioMega Lucario,Fighting,Steel,625,70,145,88,140,70,112,4,False
500,450,Hippowdon,Ground,,525,108,112,118,68,72,47,4,False
502,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,4,False
504,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,4,False
506,456,Finneon,Water,,330,49,49,56,49,61,66,4,False
508,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
510,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,4,False
512,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,4,False
514,463,Lickilicky,Normal,,515,110,85,95,80,95,50,4,False
516,465,Tangrowth,Grass,,535,100,100,125,110,50,50,4,False
518,467,Magmortar,Fire,,540,75,95,67,125,95,83,4,False
520,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,4,False
522,471,Glaceon,Ice,,525,65,60,110,130,95,65,4,False
524,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,4,False
526,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,4,False
528,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,4,False
530,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,4,False
532,479,RotomHeat Rotom,Electric,Fire,520,50,65,107,105,107,86,4,False
534,479,RotomFrost Rotom,Electric,Ice,520,50,65,107,105,107,86,4,False
536,479,RotomMow Rotom,Electric,Grass,520,50,65,107,105,107,86,4,False
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
540,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,4,True
542,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,4,True
544,487,GiratinaAltered Forme,Ghost,Dragon,680,150,100,120,100,120,90,4,True
546,488,Cresselia,Psychic,,600,120,70,120,75,130,85,4,False
548,490,Manaphy,Water,,600,100,100,100,100,100,100,4,False
550,492,ShayminLand Forme,Grass,,600,100,100,100,100,100,100,4,True
552,493,Arceus,Normal,,720,120,120,120,120,120,120,4,True
554,495,Snivy,Grass,,308,45,45,55,45,55,63,5,False
556,497,Serperior,Grass,,528,75,75,95,75,95,113,5,False
558,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False
560,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False
562,503,Samurott,Water,,528,95,100,85,108,70,70,5,False
564,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False
566,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False
568,509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False
570,511,Pansage,Grass,,316,50,53,48,53,48,64,5,False
572,513,Pansear,Fire,,316,50,53,48,53,48,64,5,False
574,515,Panpour,Water,,316,50,53,48,53,48,64,5,False
576,517,Munna,Psychic,,292,76,25,45,67,55,24,5,False
578,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False
580,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
582,523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
584,525,Boldore,Rock,,390,70,105,105,50,40,20,5,False
586,527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False
588,529,Drilbur,Ground,,328,60,85,40,30,45,68,5,False
590,531,Audino,Normal,,445,103,60,86,60,86,50,5,False
592,532,Timburr,Fighting,,305,75,80,55,25,35,35,5,False
594,534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,False
596,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False
598,538,Throh,Fighting,,465,120,100,85,30,85,45,5,False
600,540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,False
602,542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False
604,544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,False
606,546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,False
608,548,Petilil,Grass,,280,45,35,50,70,50,30,5,False
610,550,Basculin,Water,,460,70,92,65,80,55,98,5,False
612,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
614,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
616,555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False
618,557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False
620,559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,False
622,561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
624,563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
626,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
628,567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
630,569,Garbodor,Poison,,474,80,95,82,60,82,75,5,False
632,571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
634,573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False
636,575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
638,577,Solosis,Psychic,,290,45,30,40,105,50,20,5,False
640,579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
642,581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
644,583,Vanillish,Ice,,395,51,65,65,80,75,59,5,False
646,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
648,587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
650,589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
652,591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False
654,593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
656,595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,False
658,597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,False
660,599,Klink,Steel,,300,40,55,70,45,60,30,5,False
662,601,Klinklang,Steel,,520,60,100,115,70,85,90,5,False
664,603,Eelektrik,Electric,,405,65,85,70,75,70,40,5,False
666,605,Elgyem,Psychic,,335,55,55,55,85,55,30,5,False
668,607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,False
670,609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,False
672,611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,False
674,613,Cubchoo,Ice,,305,55,70,40,60,40,40,5,False
676,615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
678,617,Accelgor,Bug,,495,80,70,40,100,60,145,5,False
680,619,Mienfoo,Fighting,,350,45,85,50,55,50,65,5,False
682,621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,False
684,623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False
686,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
688,627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False
690,629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False
692,631,Heatmor,Fire,,484,85,97,66,105,66,65,5,False
694,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
696,635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
698,637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,False
700,639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
702,641,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
704,642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
706,643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True
708,645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True
710,646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
712,646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True
714,647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
716,648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False
718,650,Chespin,Grass,,313,56,61,65,48,45,38,6,False
720,652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,False
722,654,Braixen,Fire,,409,59,59,58,90,70,73,6,False
724,656,Froakie,Water,,314,41,56,40,62,44,71,6,False
726,658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
728,660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False
730,662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False
732,664,Scatterbug,Bug,,200,38,35,40,27,25,35,6,False
734,666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
736,668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
738,670,Floette,Fairy,,371,54,45,47,75,98,52,6,False
740,672,Skiddo,Grass,,350,66,65,48,62,57,52,6,False
742,674,Pancham,Fighting,,348,67,82,62,46,48,43,6,False
744,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
746,678,MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,False
748,679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,False
750,681,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,False
752,682,Spritzee,Fairy,,341,78,52,60,63,65,23,6,False
754,684,Swirlix,Fairy,,341,62,48,66,59,57,49,6,False
756,686,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,False
758,688,Binacle,Rock,Water,306,42,52,67,39,56,50,6,False
760,690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
762,692,Clauncher,Water,,330,50,53,62,58,63,44,6,False
764,694,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,False
766,696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
768,698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
770,700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
772,702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
774,704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False
776,706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False
778,708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,False
780,710,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False
782,710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False
784,711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
786,711,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False
